,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtCond,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleType,SaleCondition,SalePrice,TotalSF,TotalBath,LotFrontageRatio
0,SC60,RL,65.0,8450.0,Pave,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7.0,Gable,VinylSd,BrkFace,196.0,TA,PConc,TA,856.0,Ex,Y,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,8.0,0.0,No,Attchd,RFn,548.0,TA,Y,0.0,61.0,0.0,0.0,0.0,0.0,WD,Normal,208500.0,3114.0,3.5,0.007692307692307693
1,SC20,RL,80.0,9600.0,Pave,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6.0,Gable,MetalSd,None,0.0,TA,CBlock,TA,1262.0,Ex,Y,1262.0,0.0,0.0,1262.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,1.0,TA,Attchd,RFn,460.0,TA,Y,298.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,181500.0,2984.0,2.0,0.008333333333333333
2,SC60,RL,68.0,11250.0,Pave,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7.0,Gable,VinylSd,BrkFace,162.0,TA,PConc,TA,920.0,Ex,Y,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,1.0,TA,Attchd,RFn,608.0,TA,Y,0.0,42.0,0.0,0.0,0.0,0.0,WD,Normal,223500.0,3314.0,3.5,0.006044444444444444
3,SC70,RL,60.0,9550.0,Pave,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7.0,Gable,Wd Shng,None,0.0,TA,BrkTil,Gd,756.0,Gd,Y,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,7.0,1.0,Gd,Detchd,Unf,642.0,TA,Y,0.0,35.0,0.0,0.0,0.0,0.0,WD,Abnorml,140000.0,3115.0,2.0,0.0062827225130890054
4,SC60,RL,84.0,14260.0,Pave,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8.0,Gable,VinylSd,BrkFace,350.0,TA,PConc,TA,1145.0,Ex,Y,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,1.0,TA,Attchd,RFn,836.0,TA,Y,192.0,84.0,0.0,0.0,0.0,0.0,WD,Normal,250000.0,4179.0,3.5,0.005890603085553997
5,SC50,RL,85.0,14115.0,Pave,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5.0,Gable,VinylSd,None,0.0,TA,Wood,TA,796.0,Ex,Y,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,TA,5.0,0.0,No,Attchd,Unf,480.0,TA,Y,40.0,30.0,0.0,0.0,0.0,0.0,WD,Normal,143000.0,2638.0,2.5,0.0060219624512929506
6,SC20,RL,75.0,10084.0,Pave,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8.0,Gable,VinylSd,Stone,186.0,TA,PConc,TA,1686.0,Ex,Y,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,Gd,Attchd,RFn,636.0,TA,Y,255.0,57.0,0.0,0.0,0.0,0.0,WD,Normal,307000.0,4016.0,3.0,0.007437524791749306
7,SC60,RL,0.0,10382.0,Pave,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7.0,Gable,HdBoard,Stone,240.0,TA,CBlock,TA,1107.0,Ex,Y,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,2.0,TA,Attchd,RFn,484.0,TA,Y,235.0,170.0,0.0,0.0,0.0,0.0,WD,Normal,200000.0,3681.0,3.5,0.0
8,SC50,RM,51.0,6120.0,Pave,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7.0,Gable,Wd Shng,None,0.0,TA,BrkTil,TA,952.0,Gd,Y,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,8.0,2.0,TA,Detchd,Unf,468.0,TA,Y,90.0,0.0,0.0,0.0,0.0,0.0,WD,Abnorml,129900.0,3194.0,2.0,0.008333333333333333
9,SC190,RL,50.0,7420.0,Pave,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5.0,Gable,MetalSd,None,0.0,TA,BrkTil,TA,991.0,Ex,Y,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,2.0,TA,Attchd,RFn,205.0,TA,Y,0.0,4.0,0.0,0.0,0.0,0.0,WD,Normal,118000.0,2273.0,2.0,0.006738544474393531
10,SC20,RL,70.0,11200.0,Pave,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5.0,Hip,HdBoard,None,0.0,TA,CBlock,TA,1040.0,Ex,Y,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,0.0,No,Detchd,Unf,384.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,129500.0,2464.0,2.0,0.00625
